Date,Close,High,Low,Open,Volume,rate
2009-12-01,1108.8599853515625,1112.280029296875,1098.8900146484375,1098.8900146484375,4249310000,
2009-12-02,1109.239990234375,1115.5799560546875,1105.2900390625,1109.030029296875,3941340000,0.03426987066288412
2009-12-03,1099.9200439453125,1117.280029296875,1098.739990234375,1110.5899658203125,4810030000,-0.8402100871871099
2009-12-04,1105.97998046875,1119.1300048828125,1096.52001953125,1100.4300537109375,5781140000,0.5509433669106611
2009-12-07,1103.25,1110.719970703125,1100.8299560546875,1105.52001953125,4103360000,-0.24683814508043023
2009-12-08,1091.93994140625,1103.0400390625,1088.6099853515625,1103.0400390625,4748030000,-1.0251582681849114
2009-12-09,1095.949951171875,1097.0400390625,1085.8900146484375,1091.0699462890625,4115410000,0.36723720907769763
2009-12-10,1102.3499755859375,1106.25,1098.68994140625,1098.68994140625,3996490000,0.5839705004064388
2009-12-11,1106.4100341796875,1108.5,1101.3399658203125,1103.9599609375,3791090000,0.3683094011583732
2009-12-14,1114.1099853515625,1114.760009765625,1107.8399658203125,1107.8399658203125,4548490000,0.6959401066516824
2009-12-15,1107.9300537109375,1114.1099853515625,1105.3499755859375,1114.1099853515625,5045100000,-0.5546967284989268
2009-12-16,1109.1800537109375,1116.2099609375,1107.9599609375,1108.6099853515625,4829820000,0.11282300681465518
2009-12-17,1096.0799560546875,1106.3599853515625,1095.8800048828125,1106.3599853515625,7615070000,-1.1810614167124256
2009-12-18,1102.469970703125,1103.739990234375,1093.8800048828125,1097.8599853515625,6325890000,0.5829880031232637
2009-12-21,1114.050048828125,1117.6800537109375,1105.31005859375,1105.31005859375,3977340000,1.0503758317892853
2009-12-22,1118.02001953125,1120.27001953125,1114.510009765625,1114.510009765625,3641130000,0.35635478920368335
2009-12-23,1120.5899658203125,1121.5799560546875,1116.0,1118.8399658203125,3166870000,0.22986585608189003
2009-12-24,1126.47998046875,1126.47998046875,1121.0799560546875,1121.0799560546875,1267710000,0.5256172933982839
2009-12-28,1127.780029296875,1130.3800048828125,1123.510009765625,1127.530029296875,2716400000,0.11540807210652648
2009-12-29,1126.199951171875,1130.3800048828125,1126.0799560546875,1128.550048828125,2491020000,-0.14010516979849896
2009-12-30,1126.4200439453125,1126.4200439453125,1121.93994140625,1125.530029296875,2277300000,0.019542957110640913
2009-12-31,1115.0999755859375,1127.6400146484375,1114.81005859375,1126.5999755859375,2076990000,-1.004959776792158
2010-01-04,1132.989990234375,1133.8699951171875,1116.56005859375,1116.56005859375,3991400000,1.6043417666686821
2010-01-05,1136.52001953125,1136.6300048828125,1129.6600341796875,1132.6600341796875,2491020000,0.31156756258232665
2010-01-06,1137.1400146484375,1139.18994140625,1133.949951171875,1135.7099609375,4972660000,0.05455206301101523
2010-01-07,1141.68994140625,1142.4599609375,1131.3199462890625,1136.27001953125,5270680000,0.400120187417663
2010-01-08,1144.97998046875,1145.3900146484375,1136.219970703125,1140.52001953125,4389590000,0.28817272914287706
2010-01-11,1146.97998046875,1149.739990234375,1142.02001953125,1145.9599609375,4255780000,0.17467554316374923
2010-01-12,1136.219970703125,1143.81005859375,1131.77001953125,1143.81005859375,4716160000,-0.9381166148364262
2010-01-13,1145.6800537109375,1148.4000244140625,1133.1800537109375,1137.31005859375,4170360000,0.8325925658531075
2010-01-14,1148.4599609375,1150.4100341796875,1143.800048828125,1145.6800537109375,3915200000,0.24264254383745687
2010-01-15,1136.030029296875,1147.77001953125,1131.3900146484375,1147.719970703125,4758730000,-1.0823130159869354
2010-01-19,1150.22998046875,1150.449951171875,1135.77001953125,1136.030029296875,4724830000,1.2499626599363545
2010-01-20,1138.0400390625,1147.949951171875,1129.25,1147.949951171875,4810560000,-1.0597829662970737
2010-01-21,1116.47998046875,1141.5799560546875,1114.8399658203125,1138.6800537109375,6874290000,-1.8944903389788381
2010-01-22,1091.760009765625,1115.489990234375,1090.1800537109375,1115.489990234375,6208650000,-2.2140988764300484
2010-01-25,1096.780029296875,1102.969970703125,1092.4000244140625,1092.4000244140625,4481390000,0.45980980127011684
2010-01-26,1092.1700439453125,1103.68994140625,1089.8599853515625,1095.800048828125,4731910000,-0.42031995736809824
2010-01-27,1097.5,1099.510009765625,1083.1099853515625,1091.93994140625,5319120000,0.48801522109449547
2010-01-28,1084.530029296875,1100.219970703125,1078.4599609375,1096.9300537109375,5452400000,-1.1817740959567224
2010-01-29,1073.8699951171875,1096.449951171875,1071.5899658203125,1087.6099853515625,5412850000,-0.9829173828039273
2010-02-01,1089.18994140625,1089.3800048828125,1073.8900146484375,1073.8900146484375,4077610000,1.4266108894671836
2010-02-02,1103.3199462890625,1104.72998046875,1087.9599609375,1090.050048828125,4749540000,1.297294837718499
2010-02-03,1097.280029296875,1102.719970703125,1093.969970703125,1100.6700439453125,4285450000,-0.547431142933863
2010-02-04,1063.1099853515625,1097.25,1062.780029296875,1097.25,5859690000,-3.1140677888039425
2010-02-05,1066.18994140625,1067.1300048828125,1044.5,1064.1199951171875,6438900000,0.2897118921960873
2010-02-08,1056.739990234375,1071.199951171875,1056.510009765625,1065.510009765625,4089820000,-0.886329049344714
2010-02-09,1070.52001953125,1079.280029296875,1060.06005859375,1060.06005859375,5114260000,1.3040132316577413
2010-02-10,1068.1300048828125,1073.6700439453125,1059.3399658203125,1069.6800537109375,4251450000,-0.22325735201887964
