Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction,MA5,MA10,MA5_Capacity,BR5,BR10,High-Low,Open-Close,EMA5,EMA10,K,D,MACD,MACD_signal,MACD_hist,RSI14,STD20,ADX,RSI,DJI,NASDAQ,SOX,SPX,ADR,twclose,twopen,Movement,rate
2010-01-04,39511138,2557720928,65.0,65.0,64.0,64.9,0.4,8255,64.5,64.01,46396343.6,-0.7751937984496124,-0.7967505077331747,1.0,0.0999999999999943,64.9,64.9,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,0.0,1.7004333812915169,55.46939952686366,23.987139958799844,10583.96,2308.42,366.1,1133.0,11.58,8207.85,8277.71,0,0.1540832049306439
2010-01-05,38394084,2464115096,65.0,65.1,63.9,64.5,-0.4,9205,64.5,64.01,46396343.6,-0.7751937984496124,-0.7967505077331747,1.1999999999999955,0.5,64.76666666666668,64.82727272727273,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,0.0,1.7004333812915169,55.46939952686366,23.987139958799844,10572.02,2308.71,366.4,1136.5,11.53,8211.4,8237.1,0,0.7751937984496138
2010-01-06,52734385,3390698544,64.5,64.9,63.7,64.9,0.4,12597,64.5,64.01,46396343.6,-0.7751937984496124,-0.7967505077331747,1.2000000000000028,-0.4000000000000057,64.81111111111113,64.8404958677686,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,7.142857142857142,1.7004333812915169,55.46939952686366,23.987139958799844,10573.68,2301.09,366.3,1137.1,11.49,8327.62,8344.56,1,-0.6163328197226536
2010-01-07,53294614,3437221996,64.9,65.0,64.2,64.2,-0.7,11195,64.5,64.01,46396343.6,-0.7751937984496124,-0.7967505077331747,0.7999999999999972,0.7000000000000028,64.60740740740742,64.72404207362885,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,6.295399515738506,1.7004333812915169,55.46939952686366,23.987139958799844,10606.86,2300.05,362.3,1141.7,11.11,8237.42,8266.87,0,1.0903426791277315
2010-01-08,48047497,3068341466,63.5,64.3,63.5,64.0,-0.2,9804,64.5,64.01,46396343.6,-0.7751937984496124,-0.7967505077331747,0.7999999999999972,-0.5,64.40493827160495,64.59239806024178,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,6.073674752920042,1.7004333812915169,55.46939952686366,23.987139958799844,10618.19,2317.17,367.7,1145.0,11.1,8280.9,8291.52,0,-0.78125
2010-01-11,37446686,2413758179,64.0,64.9,63.5,64.5,0.5,8066,64.42,64.01,45983453.2,0.1241850357031951,-0.7967505077331747,1.4000000000000057,-0.5,64.4366255144033,64.57559841292509,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,14.208698945773529,1.7004333812915169,55.46939952686366,23.987139958799844,10663.99,2312.41,366.6,1147.0,11.04,8323.82,8343.73,1,-0.7751937984496138
2010-01-12,52444792,3337576396,64.4,64.4,63.3,63.6,-0.9,12865,64.24000000000001,64.01,48793594.8,-0.996264009962652,-0.7967505077331747,1.1000000000000083,0.8000000000000043,64.15775034293554,64.39821688330234,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,12.16611214457429,1.7004333812915169,55.46939952686366,23.987139958799844,10627.26,2282.31,353.4,1136.2,10.7,8309.37,8229.25,0,1.2578616352201255
2010-01-13,49806496,3129817596,63.0,63.1,62.6,62.8,-0.8,10609,63.82000000000001,64.01,48208017.0,-1.5982450642431998,-0.7967505077331747,0.5,0.2000000000000028,63.70516689529036,64.10763199542919,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,10.694424069080751,1.7004333812915169,55.46939952686366,23.987139958799844,10680.77,2307.9,359.1,1145.7,10.98,8196.56,8245.86,0,0.3184713375796288
2010-01-14,39254264,2469193916,63.6,63.6,63.0,63.2,0.4,8755,63.620000000000005,64.01,45399947.0,-0.6601697579377581,-0.7967505077331747,0.6000000000000014,0.3999999999999986,63.53677793019358,63.94260799626024,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,16.155677175717987,1.7004333812915169,55.46939952686366,23.987139958799844,10710.55,2316.74,357.0,1148.5,10.87,8289.98,8340.6,1,0.6329113924050667
2010-01-15,50011109,3155482441,62.9,63.5,62.8,63.5,0.3,11048,63.52,64.01,45792669.4,-0.0314861460957228,-0.7967505077331747,0.7000000000000028,-0.6000000000000014,63.52451862012906,63.862133815122014,9.30543735983774,5.383565142310294,-2.095675787178699,-1.7866769427217777,0.3780508459841074,20.10202575956749,1.7004333812915169,55.46939952686366,23.987139958799844,10609.65,2287.99,344.7,1136.0,10.6,8356.89,8290.38,1,-0.9448818897637824
